gene,submissions,variants,claims,denials,labs,claim_rate,denial_rate,denials_per_claim,mave,claim_rate_lab_mean,denial_rate_lab_mean
BRAF,2640,1412,101,125,110,0.038,0.047,1.238,True,0.074,0.015
HRAS,1313,721,61,58,88,0.046,0.044,0.951,True,0.074,0.022
KRAS,949,455,75,40,98,0.079,0.042,0.533,True,0.063,0.015
LZTR1,8092,4693,232,440,105,0.029,0.054,1.897,False,0.068,0.029
MAP2K1,1190,709,54,47,69,0.045,0.039,0.870,False,0.104,0.008
MAP2K2,1877,1011,13,98,55,0.007,0.052,7.538,False,0.003,0.037
NRAS,624,334,37,21,58,0.059,0.034,0.568,False,0.106,0.015
PTPN11,3584,1327,324,108,144,0.090,0.030,0.333,False,0.108,0.010
RAF1,2510,1350,85,122,78,0.034,0.049,1.435,True,0.057,0.022
RIT1,904,414,83,42,67,0.092,0.046,0.506,False,0.135,0.026
SHOC2,1135,712,25,48,55,0.022,0.042,1.920,False,0.077,0.026
SOS1,4522,2194,112,201,101,0.025,0.044,1.795,False,0.064,0.018
SOS2,3229,2036,14,162,50,0.004,0.050,11.571,False,0.041,0.048
